FLAG,ASSET NAME,ASSET ID,LAST SEEN LOCATION,LAST SEEN TIME,LOCATIONS,LAST LATITUDE,LAST LONGITUDE,SHARED_TO,TYPE,GROUPS,DESCRIPTION,COMMENT,GPS TAG,BATTERY,CREATED AT,UPDATED AT
NONE,Tortoise,ESP-06-H,"San Cristobal County, EC",2020-06-15 20:08 EDT,Isla Espanola(about 9 hours),-1.366231441,-89.69330549,,,Espanola 15,"16015526	6	H	2-3211169
",,,,2020-06-11 16:10 EDT,2020-06-15 20:07 EDT
NONE,Tortoise,ESP-05-M,"San Cristobal County, EC",2020-06-15 19:16 EDT,Isla Espanola(about 5 hours),-1.364868879,-89.694314,,,Espanola 15,"12068332	5	M	2-3210655
",,,,2020-06-11 15:53 EDT,2020-06-15 19:15 EDT
NONE,Tortoise,ESP-14-H,"San Cristobal County, EC",2020-06-15 19:16 EDT,Isla Espanola(about 8 hours),-1.365813017,-89.69336987,,,Espanola 15,"051866528	14	H	2-3211142
",,,,2020-06-11 16:17 EDT,2020-06-15 19:15 EDT
NONE,Tortoise,ESP-12-H,"San Cristobal County, EC",2020-06-15 19:15 EDT,Isla Espanola(about 12 hours),-1.366070509,-89.6934557,,,Espanola 15,"16064360	12	H	2-3210806
",,,,2020-06-11 16:16 EDT,2020-06-15 19:15 EDT
NONE,Tortoise,ESP-09-H,"San Cristobal County, EC",2020-06-15 18:57 EDT,Isla Espanola(about 5 hours),-1.366038322,-89.6931982,,,Espanola 15,"016020535	9	H	2-3208797
",,,,2020-06-11 16:13 EDT,2020-06-15 18:57 EDT
NONE,Tortoise,ESP-07-H,"San Cristobal County, EC",2020-06-15 18:56 EDT,Isla Espanola(about 9 hours),-1.366199255,-89.69352007,,,Espanola 15,"17030541	7	H	2-3210215",,,,2020-06-11 16:11 EDT,2020-06-15 18:55 EDT
NONE,Tortoise,ESP-02-H,"San Cristobal County, EC",2020-06-15 18:53 EDT,Isla Espanola(about 10 hours),-1.366167068,-89.69336987,,,Espanola 15,"016300370	2	H	2-3210525
",,,,2020-06-09 21:20 EDT,2020-06-15 18:52 EDT
NONE,Tortoise,ESP-10-H,"San Cristobal County, EC",2020-06-15 17:56 EDT,Isla Espanola(about 11 hours),-1.366209984,-89.69332695,,,Espanola 15,"015775105	10	H	2-3209885
",,,,2020-06-11 16:14 EDT,2020-06-15 17:55 EDT
NONE,Tortoise,ESP-13-H,"San Cristobal County, EC",2020-06-15 17:54 EDT,Isla Espanola(about 3 hours),-1.36605978,-89.69341278,,,Espanola 15,"42075028	13	H	2-3207626
",,,,2020-06-11 16:17 EDT,2020-06-15 17:54 EDT
NONE,Tortoise,ESP-11-H,"San Cristobal County, EC",2020-06-15 17:52 EDT,Isla Espanola(about 11 hours),-1.366177797,-89.69336987,,,Espanola 15,"017559068	11	H	2-3210163
",,,,2020-06-11 16:15 EDT,2020-06-15 17:52 EDT
NONE,Tortoise,ESP-15-M,"San Cristobal County, EC",2020-06-15 17:34 EDT,Isla Espanola(about 10 hours),-1.36605978,-89.69356298,,,Espanola 15,"41864112	15	M	2-3208844
",,,,2020-06-11 16:18 EDT,2020-06-15 17:34 EDT
NONE,Tortoise,ESP-03-H,"San Cristobal County, EC",2020-06-15 15:02 EDT,Isla Espanola(about 9 hours),-1.365952492,-89.69362736,,,Espanola 15,"015514309	3	M	2-3211047
",,,,2020-06-11 15:39 EDT,2020-06-15 15:02 EDT
NONE,Tortoise,ESP-08-H,"San Cristobal County, EC",2020-06-15 14:22 EDT,Isla Espanola(about 6 hours),-1.36624217,-89.69341278,,,Espanola 15,"017535372	8	H	2-3210572
",,,,2020-06-11 16:12 EDT,2020-06-15 14:22 EDT
NONE,Tortoise,ESP-01-H,"San Cristobal County, EC",2020-06-15 13:52 EDT,Isla Espanola(about 7 hours),-1.366199255,-89.69261885,,,Espanola 15,"16056375	1	H	2-3210269
",,,,2020-06-09 21:20 EDT,2020-06-15 13:52 EDT
NONE,Tortoise,ESP-04-H,"San Cristobal County, EC",2020-06-15 13:07 EDT,Isla Espanola(about 7 hours),-1.353378296,-89.6994853,,,Espanola 15,"16112529	4	H	2-3210885
",,,,2020-06-11 15:41 EDT,2020-06-15 13:06 EDT
NONE,Tortoise,ESP-15-M,"San Cristobal County, EC",2020-06-15 21:41 EDT,Isla Espanola(about 7 hours),-1.365587711,-89.69525814,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-15-M,"San Cristobal County, EC",2020-06-15 17:34 EDT,Isla Espanola(about 7 hours),-1.36605978,-89.69356298,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-15-M,"San Cristobal County, EC",2020-06-15 13:36 EDT,Isla Espanola(about 7 hours),-1.364579201,-89.69796181,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-15-M,"San Cristobal County, EC",2020-06-15 10:41 EDT,Isla Espanola(about 7 hours),-1.347241402,-89.70392704,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-15-M,"San Cristobal County, EC",2020-06-15 05:34 EDT,Isla Espanola(about 7 hours),-1.010752916,-90.09136677,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-15-M,"San Cristobal County, EC",2020-06-14 21:41 EDT,Isla Espanola(about 7 hours),-0.746383667,-90.30907631,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-15-M,"San Cristobal County, EC",2020-06-14 18:50 EDT,Isla Espanola(about 7 hours),-0.746340752,-90.30907631,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-15-M,"San Cristobal County, EC",2020-06-14 13:49 EDT,Isla Espanola(about 7 hours),-0.738787651,-90.30184507,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-15-M,"San Cristobal County, EC",2020-06-14 09:34 EDT,Isla Espanola(about 7 hours),-0.738787651,-90.30184507,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-15-M,"San Cristobal County, EC",2020-06-13 21:49 EDT,Isla Espanola(about 7 hours),-0.738819838,-90.30182362,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-15-M,"San Cristobal County, EC",2020-06-13 13:34 EDT,Isla Espanola(about 7 hours),-0.738787651,-90.30182362,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-15-M,"San Cristobal County, EC",2020-06-13 05:48 EDT,Isla Espanola(about 7 hours),-0.738734007,-90.30188799,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-15-M,"San Cristobal County, EC",2020-06-12 17:50 EDT,Isla Espanola(about 7 hours),-0.73879838,-90.30184507,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-15-M,"San Cristobal County, EC",2020-06-12 14:53 EDT,Isla Espanola(about 7 hours),-0.738734007,-90.30188799,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-15-M,"San Cristobal County, EC",2020-06-12 10:48 EDT,Isla Espanola(about 7 hours),-0.708146095,-90.3238821,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-06-H,"San Cristobal County, EC",2020-06-15 20:08 EDT,Isla Espanola(about 7 hours),-1.366231441,-89.69330549,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-06-H,"San Cristobal County, EC",2020-06-15 16:05 EDT,Isla Espanola(about 7 hours),-1.366252899,-89.69330549,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-06-H,"San Cristobal County, EC",2020-06-15 11:56 EDT,Isla Espanola(about 7 hours),-1.365995407,-89.69352007,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-06-H,"San Cristobal County, EC",2020-06-15 00:06 EDT,Isla Espanola(about 7 hours),-0.746426582,-90.30914068,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-06-H,"San Cristobal County, EC",2020-06-14 15:56 EDT,Isla Espanola(about 7 hours),-0.73879838,-90.30197382,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-06-H,"San Cristobal County, EC",2020-06-14 08:05 EDT,Isla Espanola(about 7 hours),-0.738937855,-90.30188799,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-06-H,"San Cristobal County, EC",2020-06-14 04:12 EDT,Isla Espanola(about 7 hours),-0.738894939,-90.30184507,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-06-H,"San Cristobal County, EC",2020-06-13 16:06 EDT,Isla Espanola(about 7 hours),-0.738970041,-90.3019309,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-05-M,"San Cristobal County, EC",2020-06-15 19:16 EDT,Isla Espanola(about 7 hours),-1.364868879,-89.694314,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-05-M,"San Cristobal County, EC",2020-06-15 15:20 EDT,Isla Espanola(about 7 hours),-1.365920305,-89.69362736,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-05-M,"San Cristobal County, EC",2020-06-15 07:09 EDT,Isla Espanola(about 7 hours),-1.244394779,-89.88275528,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-05-M,"San Cristobal County, EC",2020-06-14 19:09 EDT,Isla Espanola(about 7 hours),-0.746308565,-90.30901194,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-05-M,"San Cristobal County, EC",2020-06-14 03:16 EDT,Isla Espanola(about 7 hours),-0.738830566,-90.30188799,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-14-H,"San Cristobal County, EC",2020-06-15 19:16 EDT,Isla Espanola(about 7 hours),-1.365813017,-89.69336987,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-14-H,"San Cristobal County, EC",2020-06-15 12:13 EDT,Isla Espanola(about 7 hours),-1.365963221,-89.69341278,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-14-H,"San Cristobal County, EC",2020-06-15 07:09 EDT,Isla Espanola(about 7 hours),-1.222164631,-89.9141264,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-14-H,"San Cristobal County, EC",2020-06-15 02:57 EDT,Isla Espanola(about 7 hours),-0.746383667,-90.30905485,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-14-H,"San Cristobal County, EC",2020-06-14 22:58 EDT,Isla Espanola(about 7 hours),-0.746394396,-90.30907631,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-14-H,"San Cristobal County, EC",2020-06-14 15:15 EDT,Isla Espanola(about 7 hours),-0.738841295,-90.30188799,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-14-H,"San Cristobal County, EC",2020-06-14 10:57 EDT,Isla Espanola(about 7 hours),-0.738862753,-90.30184507,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-14-H,"San Cristobal County, EC",2020-06-14 03:16 EDT,Isla Espanola(about 7 hours),-0.738873482,-90.3019309,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-14-H,"San Cristobal County, EC",2020-06-13 16:11 EDT,Isla Espanola(about 7 hours),-0.738841295,-90.30184507,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-14-H,"San Cristobal County, EC",2020-06-13 00:08 EDT,Isla Espanola(about 7 hours),-0.738873482,-90.3019309,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-14-H,"San Cristobal County, EC",2020-06-12 20:20 EDT,Isla Espanola(about 7 hours),-0.738819838,-90.30188799,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-14-H,"San Cristobal County, EC",2020-06-12 12:06 EDT,Isla Espanola(about 7 hours),-0.73879838,-90.30184507,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-14-H,"San Cristobal County, EC",2020-06-12 06:57 EDT,Isla Espanola(about 7 hours),-0.708210468,-90.32390356,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-14-H,"San Cristobal County, EC",2020-06-11 19:07 EDT,Isla Espanola(about 7 hours),-0.708113909,-90.32394648,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-12-H,"San Cristobal County, EC",2020-06-15 19:15 EDT,Isla Espanola(about 7 hours),-1.366070509,-89.6934557,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-12-H,"San Cristobal County, EC",2020-06-15 15:15 EDT,Isla Espanola(about 7 hours),-1.36605978,-89.6934557,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-12-H,"San Cristobal County, EC",2020-06-15 08:16 EDT,Isla Espanola(about 7 hours),-1.344666481,-89.6976614,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-12-H,"San Cristobal County, EC",2020-06-15 00:26 EDT,Isla Espanola(about 7 hours),-0.746501684,-90.30914068,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-12-H,"San Cristobal County, EC",2020-06-14 16:16 EDT,Isla Espanola(about 7 hours),-0.738830566,-90.3019309,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-12-H,"San Cristobal County, EC",2020-06-14 04:16 EDT,Isla Espanola(about 7 hours),-0.738894939,-90.30203819,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-12-H,"San Cristobal County, EC",2020-06-13 16:34 EDT,Isla Espanola(about 7 hours),-0.738841295,-90.30203819,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-12-H,"San Cristobal County, EC",2020-06-13 04:31 EDT,Isla Espanola(about 7 hours),-0.738841295,-90.30190945,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-09-H,"San Cristobal County, EC",2020-06-15 18:57 EDT,Isla Espanola(about 7 hours),-1.366038322,-89.6931982,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-09-H,"San Cristobal County, EC",2020-06-15 15:04 EDT,Isla Espanola(about 7 hours),-1.36605978,-89.6931982,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-09-H,"San Cristobal County, EC",2020-06-15 07:05 EDT,Isla Espanola(about 7 hours),-1.222304106,-89.9138689,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-09-H,"San Cristobal County, EC",2020-06-15 02:58 EDT,Isla Espanola(about 7 hours),-0.746340752,-90.30907631,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-09-H,"San Cristobal County, EC",2020-06-14 15:13 EDT,Isla Espanola(about 7 hours),-0.738841295,-90.3019309,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-07-H,"San Cristobal County, EC",2020-06-15 18:56 EDT,Isla Espanola(about 7 hours),-1.366199255,-89.69352007,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-07-H,"San Cristobal County, EC",2020-06-15 15:02 EDT,Isla Espanola(about 7 hours),-1.366134882,-89.6936059,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-07-H,"San Cristobal County, EC",2020-06-15 11:05 EDT,Isla Espanola(about 7 hours),-1.366038322,-89.69354153,,,Espanola 15,blank,,,,blank,blank
NONE,Tortoise,ESP-07-H,"San Cristobal County, EC",2020-06-15 07:08 EDT,Isla Espanola(about 7 hours),-1.219192743,-89.91820335,,,Espanola 15,blank,,,,blank,blank
